ind_code,name,eng_name
6108000000,电子,
6132000000,通信,
6104000000,钢铁,
6118000000,房地产,Real Estate
6127000000,机械设备,Eechanical equipment
6125000000,建筑装饰,
6111000000,家用电器,
6133000000,银行,Banks
6101000000,农林牧渔,Agriculture And Forestry
6120000000,商业贸易,
6121000000,休闲服务,Leisure Services
6129000000,汽车,
6130000000,计算机,
6114000000,轻工制造,
6116000000,公用事业,Utilities
6117000000,交通运输,Transportation
6113000000,纺织服装,Textiles & Apparel
6131000000,传媒,
6123000000,综合,
6105000000,有色金属,
6102000000,采掘,
6128000000,国防军工,
6115000000,医药生物,
6103000000,化工,
6112000000,食品饮料,Food And Drink
6126000000,电气设备,
6134000000,非银金融,
6124000000,建筑材料,
