S_INFO_WINDCODE,S_VAL_MV
600938.SH,92089255.0730
601127.SH,12420908.6133
600703.SH,7244055.1916
601727.SH,7104392.9460
601916.SH,6866158.9908
601018.SH,6750672.7745
600026.SH,6593212.9779
600221.SH,6266266.7176
600023.SH,6047338.4698
001965.SZ,5737996.1786
603198.SH,5734400.0000
601825.SH,5564844.4448
301269.SZ,5374580.5614
688728.SH,5041655.8340
600256.SH,5009671.1711
600522.SH,4866866.2038
600236.SH,4414131.5691
000999.SZ,4359867.8080
002602.SZ,4359745.8263
600515.SH,4284491.1008
603605.SH,4182121.4543
688180.SH,4129054.8696
600733.SH,4068657.3134
002603.SZ,3787489.0874
600702.SH,3605636.9379
688122.SH,3220386.9116
603606.SH,3034200.2036
600779.SH,2851053.8415
601933.SH,2731586.1349
603613.SH,2710194.5904
603087.SH,2702690.9896
002607.SZ,2658149.1367
003022.SZ,2608364.3040
600004.SH,2570256.0553
000799.SZ,2451914.0831
600361.SH,2185441.1904
000516.SZ,2014381.2805
000628.SZ,1993904.8000
688063.SH,1985806.9472
300140.SZ,1972891.8936
688032.SH,1953795.3750
000980.SZ,1855657.5680
601333.SH,1834636.0830
000429.SZ,1697734.5743
000981.SZ,1689572.5801
688055.SH,1603333.3654
300376.SZ,1524997.5118
688177.SH,1508079.3600
000413.SZ,1380023.7373
688097.SH,1343963.1249
002992.SZ,1311053.0525
300446.SZ,1265253.5708
601107.SH,1207933.7000
301297.SZ,1180981.1000
001309.SZ,1099862.6336
002528.SZ,1030860.5705
001330.SZ,1021267.6051
603337.SH,1002747.3942
605011.SH,1001050.2000
301205.SZ,975155.9040
600376.SH,957018.7048
600567.SH,952230.7393
300053.SZ,951930.3252
300926.SZ,927387.0500
603629.SH,920592.4000
301377.SZ,917990.0000
002755.SZ,914237.9457
002426.SZ,898236.1247
601686.SH,897857.6602
600410.SH,882678.2198
300913.SZ,861769.9512
002127.SZ,859204.6411
600301.SH,850170.6918
000656.SZ,838335.3831
600851.SH,834076.1742
688197.SH,822120.5281
688698.SH,815595.7238
603178.SH,814438.9300
002668.SZ,809831.2367
002146.SZ,804410.3124
002855.SZ,798399.7697
603528.SH,790955.0655
600020.SH,788827.5130
603667.SH,784926.3795
688025.SH,783960.2691
300042.SZ,773143.2000
002997.SZ,766161.8213
002792.SZ,763908.2354
301091.SZ,763152.0000
605005.SH,759895.0000
603680.SH,755504.8914
603569.SH,745361.2806
605198.SH,740439.0000
603863.SH,738581.8500
301191.SZ,731419.4160
300592.SZ,714263.7839
600611.SH,711600.9821
300779.SZ,703974.3485
605598.SH,702384.4836
002665.SZ,693592.1902
605118.SH,690082.4685
688609.SH,685000.0000
002640.SZ,683980.1439
600609.SH,683135.4907
300280.SZ,679055.4674
600231.SH,675961.7645
300324.SZ,675487.9226
002512.SZ,674491.5848
603511.SH,672175.2870
603587.SH,670250.3399
605016.SH,668788.8480
688313.SH,667557.3872
600983.SH,665269.0520
688151.SH,665229.5000
605050.SH,659405.4442
600936.SH,658384.3382
603266.SH,658116.2558
301391.SZ,657356.0000
603773.SH,652282.0386
601020.SH,648729.4930
002552.SZ,643224.2437
601500.SH,640205.4584
300293.SZ,638971.1441
600894.SH,635500.7554
000721.SZ,632453.5674
002843.SZ,631796.5167
605133.SH,630909.1724
603590.SH,627040.0000
002672.SZ,618943.2491
688569.SH,613882.7638
002336.SZ,612040.0000
600190.SH,608696.6160
002383.SZ,608576.1707
002884.SZ,608060.2653
603110.SH,607704.7306
002786.SZ,605142.2520
301221.SZ,603712.1514
002771.SZ,599505.7978
300814.SZ,598936.9720
301085.SZ,594502.9085
603322.SH,588826.6262
002896.SZ,588056.2987
000523.SZ,587349.9075
000040.SZ,584341.4309
002922.SZ,583066.3396
603206.SH,582931.9771
600724.SH,580986.9105
601566.SH,580958.1587
688165.SH,578654.0200
002728.SZ,576624.4730
605319.SH,575357.5744
300608.SZ,574123.7695
603687.SH,566015.6725
600520.SH,565595.1000
600681.SH,564499.8750
002889.SZ,562093.0626
688488.SH,561745.0487
300063.SZ,554893.9152
000961.SZ,554851.0406
603929.SH,554309.2800
600551.SH,553583.6705
300025.SZ,553566.6991
600488.SH,552436.0034
605228.SH,550644.4800
301061.SZ,550400.0000
688258.SH,549565.6551
