S_INFO_WINDCODE,S_VAL_MV
600519.SH,221097093.7890
600941.SH,193780283.9467
601398.SH,171075003.4027
601939.SH,160007025.5910
601857.SH,130493957.1842
601288.SH,127743807.3636
601988.SH,116871953.1227
601628.SH,89372997.2100
300750.SZ,79674438.1812
601318.SH,78067275.7602
600036.SH,77021408.4655
002594.SZ,69372534.2347
600028.SH,65685318.3660
601088.SH,61135435.9015
000858.SZ,60696704.3742
600900.SH,55567322.4330
601728.SH,46943162.1526
601658.SH,45019128.5213
601328.SH,43220906.9074
688981.SH,42446921.5643
000333.SZ,36350312.6250
300760.SZ,34928011.6784
002415.SZ,33590163.3516
600030.SH,33242486.5374
601138.SH,31666152.1639
601899.SH,31512905.7743
000568.SZ,31005950.3662
601166.SH,30683626.2325
600276.SH,29853730.6423
600809.SH,29035148.4836
601998.SH,26637975.0790
600309.SH,25855813.4651
603259.SH,25358933.6098
300059.SZ,24245345.4345
601816.SH,24062177.4594
601633.SH,23602932.6169
601601.SH,23252365.2967
002475.SZ,23093330.6726
601319.SH,23084923.0843
601668.SH,21546630.4242
603288.SH,21324903.0862
600690.SH,21103624.9007
601995.SH,20921331.2659
600000.SH,20341058.2424
601066.SH,20307026.9785
002714.SZ,20287381.0968
002352.SZ,20094805.7412
000001.SZ,19871660.2348
688235.SH,19588901.1500
601888.SH,19521753.9392
300999.SZ,18785814.6722
000651.SZ,18364014.1214
601012.SH,17967538.5707
600406.SH,17841366.2464
601225.SH,17838800.0000
002304.SZ,17670600.7180
601818.SH,17371152.0119
600887.SH,17201756.3937
600016.SH,16856231.1233
600104.SH,16730716.6747
001289.SZ,16680106.6964
002142.SZ,16376905.1642
000625.SZ,16337124.9810
300124.SZ,16271846.4266
300015.SZ,16268749.5043
601919.SH,15752039.0344
601766.SH,15239096.8307
688111.SH,15174444.9555
000725.SZ,15110519.9565
003816.SZ,15048586.1078
300122.SZ,14937600.0000
600436.SH,14906761.6247
600188.SH,14767150.8792
600025.SH,14580000.0000
601688.SH,14483162.6827
601390.SH,14480034.6501
601881.SH,14277090.7090
600050.SH,14216384.5635
000002.SZ,14078237.1758
000596.SZ,13787473.8000
600019.SH,13780671.5240
601211.SH,13570626.8836
600905.SH,13567339.5408
601985.SH,13426015.5404
002371.SZ,13146900.5336
000063.SZ,13120459.0071
600048.SH,13095665.0993
600837.SH,13051135.8000
300274.SZ,13039625.6395
601800.SH,12994665.4786
603501.SH,12957272.0750
601111.SH,12831027.9277
600585.SH,12622938.7432
000338.SZ,12540062.1518
600999.SH,12488212.4934
600919.SH,12368792.6881
600438.SH,12245357.4154
300498.SZ,12108631.1182
600031.SH,12024293.9158
600011.SH,11930550.9528
600760.SH,11810928.1127
600150.SH,11574645.6257
601898.SH,11521778.4946
000166.SZ,11518374.4976
600018.SH,11432515.0723
002230.SZ,11407018.2667
603993.SH,11361200.5467
002493.SZ,11289960.3750
000776.SZ,11263967.5674
600029.SH,10981269.2299
601006.SH,10882946.8437
600600.SH,10761068.2475
601186.SH,10741417.3265
600989.SH,10655372.0800
002050.SZ,10518510.5776
601238.SH,10381111.8127
600845.SH,10345554.8523
688012.SH,10200275.6295
601336.SH,10085494.1578
600547.SH,10078636.7198
688223.SH,10020000.0000
688036.SH,9956240.8288
601600.SH,9953723.0996
600893.SH,9929338.5366
600346.SH,9925130.6983
001979.SZ,9767581.3988
002027.SZ,9690716.0161
600660.SH,9603856.1978
601169.SH,9493199.9381
002736.SZ,9439405.6482
600115.SH,9362344.5594
300014.SZ,9308032.8114
600886.SH,9265545.4877
600009.SH,9212357.9207
601989.SH,9098012.0943
000792.SZ,9078336.9189
601868.SH,9046982.5090
000538.SZ,9016656.2709
002460.SZ,8930001.7576
600015.SH,8912359.9421
002466.SZ,8887214.8719
000895.SZ,8876462.0277
601669.SH,8837019.7383
603195.SH,8720971.2232
