time,time_tag
93000,09:30:00
93003,09:30:03
93006,09:30:06
93009,09:30:09
93012,09:30:12
93015,09:30:15
93018,09:30:18
93021,09:30:21
93024,09:30:24
93027,09:30:27
93030,09:30:30
93033,09:30:33
93036,09:30:36
93039,09:30:39
93042,09:30:42
93045,09:30:45
93048,09:30:48
93051,09:30:51
93054,09:30:54
93057,09:30:57
93100,09:31:00
93103,09:31:03
93106,09:31:06
93109,09:31:09
93112,09:31:12
93115,09:31:15
93118,09:31:18
93121,09:31:21
93124,09:31:24
93127,09:31:27
93130,09:31:30
93133,09:31:33
93136,09:31:36
93139,09:31:39
93142,09:31:42
93145,09:31:45
93148,09:31:48
93151,09:31:51
93154,09:31:54
93157,09:31:57
93200,09:32:00
93203,09:32:03
93206,09:32:06
93209,09:32:09
93212,09:32:12
93215,09:32:15
93218,09:32:18
93221,09:32:21
93224,09:32:24
93227,09:32:27
93230,09:32:30
93233,09:32:33
93236,09:32:36
93239,09:32:39
93242,09:32:42
93245,09:32:45
93248,09:32:48
93251,09:32:51
93254,09:32:54
93257,09:32:57
93300,09:33:00
93303,09:33:03
93306,09:33:06
93309,09:33:09
93312,09:33:12
93315,09:33:15
93318,09:33:18
93321,09:33:21
93324,09:33:24
93327,09:33:27
93330,09:33:30
93333,09:33:33
93336,09:33:36
93339,09:33:39
93342,09:33:42
93345,09:33:45
93348,09:33:48
93351,09:33:51
93354,09:33:54
93357,09:33:57
93400,09:34:00
93403,09:34:03
93406,09:34:06
93409,09:34:09
93412,09:34:12
93415,09:34:15
93418,09:34:18
93421,09:34:21
93424,09:34:24
93427,09:34:27
93430,09:34:30
93433,09:34:33
93436,09:34:36
93439,09:34:39
93442,09:34:42
93445,09:34:45
93448,09:34:48
93451,09:34:51
93454,09:34:54
93457,09:34:57
93500,09:35:00
93503,09:35:03
93506,09:35:06
93509,09:35:09
93512,09:35:12
93515,09:35:15
93518,09:35:18
93521,09:35:21
93524,09:35:24
93527,09:35:27
93530,09:35:30
93533,09:35:33
93536,09:35:36
93539,09:35:39
93542,09:35:42
93545,09:35:45
93548,09:35:48
93551,09:35:51
93554,09:35:54
