,time
0,93000
1,93003
2,93006
3,93009
4,93012
5,93015
6,93018
7,93021
8,93024
9,93027
10,93030
11,93033
12,93036
13,93039
14,93042
15,93045
16,93048
17,93051
18,93054
19,93057
20,93100
21,93103
22,93106
23,93109
24,93112
25,93115
26,93118
27,93121
28,93124
29,93127
30,93130
31,93133
32,93136
33,93139
34,93142
35,93145
36,93148
37,93151
38,93154
39,93157
40,93200
41,93203
42,93206
43,93209
44,93212
45,93215
46,93218
47,93221
48,93224
49,93227
50,93230
51,93233
52,93236
53,93239
54,93242
55,93245
56,93248
57,93251
58,93254
59,93257
60,93300
61,93303
62,93306
63,93309
64,93312
65,93315
66,93318
67,93321
68,93324
69,93327
70,93330
71,93333
72,93336
73,93339
74,93342
75,93345
76,93348
77,93351
78,93354
79,93357
80,93400
81,93403
82,93406
83,93409
84,93412
85,93415
86,93418
87,93421
88,93424
89,93427
90,93430
91,93433
92,93436
93,93439
94,93442
95,93445
96,93448
97,93451
98,93454
99,93457
100,93500
101,93503
102,93506
103,93509
104,93512
105,93515
106,93518
107,93521
108,93524
109,93527
110,93530
111,93533
112,93536
113,93539
114,93542
115,93545
116,93548
117,93551
118,93554
119,93557
120,93600
121,93603
122,93606
123,93609
124,93612
125,93615
126,93618
127,93621
128,93624
129,93627
130,93630
131,93633
132,93636
133,93639
134,93642
135,93645
136,93648
137,93651
138,93654
139,93657
140,93700
141,93703
142,93706
143,93709
144,93712
145,93715
146,93718
147,93721
148,93724
149,93727
150,93730
151,93733
152,93736
153,93739
154,93742
155,93745
156,93748
157,93751
158,93754
159,93757
160,93800
161,93803
162,93806
163,93809
164,93812
165,93815
166,93818
167,93821
168,93824
169,93827
170,93830
171,93833
172,93836
173,93839
174,93842
175,93845
176,93848
177,93851
178,93854
179,93857
180,93900
181,93903
182,93906
183,93909
184,93912
185,93915
186,93918
187,93921
188,93924
189,93927
190,93930
191,93933
192,93936
193,93939
194,93942
195,93945
196,93948
197,93951
198,93954
199,93957
200,94000
201,94003
202,94006
203,94009
204,94012
205,94015
206,94018
207,94021
208,94024
209,94027
210,94030
211,94033
212,94036
213,94039
214,94042
215,94045
216,94048
217,94051
218,94054
219,94057
220,94100
221,94103
222,94106
223,94109
224,94112
225,94115
226,94118
227,94121
228,94124
229,94127
230,94130
231,94133
232,94136
233,94139
234,94142
235,94145
236,94148
237,94151
238,94154
239,94157
240,94200
241,94203
242,94206
243,94209
244,94212
245,94215
246,94218
247,94221
248,94224
249,94227
250,94230
251,94233
252,94236
253,94239
254,94242
255,94245
256,94248
257,94251
258,94254
259,94257
260,94300
261,94303
262,94306
263,94309
264,94312
265,94315
266,94318
267,94321
268,94324
269,94327
270,94330
271,94333
272,94336
273,94339
274,94342
275,94345
276,94348
277,94351
278,94354
279,94357
280,94400
281,94403
282,94406
283,94409
284,94412
285,94415
286,94418
287,94421
288,94424
289,94427
290,94430
291,94433
292,94436
293,94439
294,94442
295,94445
296,94448
297,94451
298,94454
299,94457
300,94500
301,94503
302,94506
303,94509
304,94512
305,94515
306,94518
307,94521
308,94524
309,94527
310,94530
311,94533
312,94536
313,94539
314,94542
315,94545
316,94548
317,94551
318,94554
319,94557
320,94600
321,94603
322,94606
323,94609
324,94612
325,94615
326,94618
327,94621
328,94624
329,94627
330,94630
331,94633
332,94636
333,94639
334,94642
335,94645
336,94648
337,94651
338,94654
339,94657
340,94700
341,94703
342,94706
343,94709
344,94712
345,94715
346,94718
347,94721
348,94724
349,94727
350,94730
351,94733
352,94736
353,94739
354,94742
355,94745
356,94748
357,94751
358,94754
359,94757
360,94800
361,94803
362,94806
363,94809
364,94812
365,94815
366,94818
367,94821
368,94824
369,94827
370,94830
371,94833
372,94836
373,94839
374,94842
375,94845
376,94848
377,94851
378,94854
379,94857
380,94900
381,94903
382,94906
383,94909
384,94912
385,94915
386,94918
387,94921
388,94924
389,94927
390,94930
391,94933
392,94936
393,94939
394,94942
395,94945
396,94948
397,94951
398,94954
399,94957
400,95000
401,95003
402,95006
403,95009
404,95012
405,95015
406,95018
407,95021
408,95024
409,95027
410,95030
411,95033
412,95036
413,95039
414,95042
415,95045
416,95048
417,95051
418,95054
419,95057
420,95100
421,95103
422,95106
423,95109
424,95112
425,95115
426,95118
427,95121
428,95124
429,95127
430,95130
431,95133
432,95136
433,95139
434,95142
435,95145
436,95148
437,95151
438,95154
439,95157
440,95200
441,95203
442,95206
443,95209
444,95212
445,95215
446,95218
447,95221
448,95224
449,95227
450,95230
451,95233
452,95236
453,95239
454,95242
455,95245
456,95248
457,95251
458,95254
459,95257
460,95300
461,95303
462,95306
463,95309
464,95312
465,95315
466,95318
467,95321
468,95324
469,95327
470,95330
471,95333
472,95336
473,95339
474,95342
475,95345
476,95348
477,95351
478,95354
479,95357
480,95400
481,95403
482,95406
483,95409
484,95412
485,95415
486,95418
487,95421
488,95424
489,95427
490,95430
491,95433
492,95436
493,95439
494,95442
495,95445
496,95448
497,95451
498,95454
499,95457
500,95500
501,95503
502,95506
503,95509
504,95512
505,95515
506,95518
507,95521
508,95524
509,95527
510,95530
511,95533
512,95536
513,95539
514,95542
515,95545
516,95548
517,95551
518,95554
519,95557
520,95600
521,95603
522,95606
523,95609
524,95612
525,95615
526,95618
527,95621
528,95624
529,95627
530,95630
531,95633
532,95636
533,95639
534,95642
535,95645
536,95648
537,95651
538,95654
539,95657
540,95700
541,95703
542,95706
543,95709
544,95712
545,95715
546,95718
547,95721
548,95724
549,95727
550,95730
551,95733
552,95736
553,95739
554,95742
555,95745
556,95748
557,95751
558,95754
559,95757
560,95800
561,95803
562,95806
563,95809
564,95812
565,95815
566,95818
567,95821
568,95824
569,95827
570,95830
571,95833
572,95836
573,95839
574,95842
575,95845
576,95848
577,95851
578,95854
579,95857
580,95900
581,95903
582,95906
583,95909
584,95912
585,95915
586,95918
587,95921
588,95924
589,95927
590,95930
591,95933
592,95936
593,95939
594,95942
595,95945
596,95948
597,95951
598,95954
599,95957
600,100000
601,100003
602,100006
603,100009
604,100012
605,100015
606,100018
607,100021
608,100024
609,100027
610,100030
611,100033
612,100036
613,100039
614,100042
615,100045
616,100048
617,100051
618,100054
619,100057
620,100100
621,100103
622,100106
623,100109
624,100112
625,100115
626,100118
627,100121
628,100124
629,100127
630,100130
631,100133
632,100136
633,100139
634,100142
635,100145
636,100148
637,100151
638,100154
639,100157
640,100200
641,100203
642,100206
643,100209
644,100212
645,100215
646,100218
647,100221
648,100224
649,100227
650,100230
651,100233
652,100236
653,100239
654,100242
655,100245
656,100248
657,100251
658,100254
659,100257
660,100300
661,100303
662,100306
663,100309
664,100312
665,100315
666,100318
667,100321
668,100324
669,100327
670,100330
671,100333
672,100336
673,100339
674,100342
675,100345
676,100348
677,100351
678,100354
679,100357
680,100400
681,100403
682,100406
683,100409
684,100412
685,100415
686,100418
687,100421
688,100424
689,100427
690,100430
691,100433
692,100436
693,100439
694,100442
695,100445
696,100448
697,100451
698,100454
699,100457
700,100500
701,100503
702,100506
703,100509
704,100512
705,100515
706,100518
707,100521
708,100524
709,100527
710,100530
711,100533
712,100536
713,100539
714,100542
715,100545
716,100548
717,100551
718,100554
719,100557
720,100600
721,100603
722,100606
723,100609
724,100612
725,100615
726,100618
727,100621
728,100624
729,100627
730,100630
731,100633
732,100636
733,100639
734,100642
735,100645
736,100648
737,100651
738,100654
739,100657
740,100700
741,100703
742,100706
743,100709
744,100712
745,100715
746,100718
747,100721
748,100724
749,100727
750,100730
751,100733
752,100736
753,100739
754,100742
755,100745
756,100748
757,100751
758,100754
759,100757
760,100800
761,100803
762,100806
763,100809
764,100812
765,100815
766,100818
767,100821
768,100824
769,100827
770,100830
771,100833
772,100836
773,100839
774,100842
775,100845
776,100848
777,100851
778,100854
779,100857
780,100900
781,100903
782,100906
783,100909
784,100912
785,100915
786,100918
787,100921
788,100924
789,100927
790,100930
791,100933
792,100936
793,100939
794,100942
795,100945
796,100948
797,100951
798,100954
799,100957
800,101000
801,101003
802,101006
803,101009
804,101012
805,101015
806,101018
807,101021
808,101024
809,101027
810,101030
811,101033
812,101036
813,101039
814,101042
815,101045
816,101048
817,101051
818,101054
819,101057
820,101100
821,101103
822,101106
823,101109
824,101112
825,101115
826,101118
827,101121
828,101124
829,101127
830,101130
831,101133
832,101136
833,101139
834,101142
835,101145
836,101148
837,101151
838,101154
839,101157
840,101200
841,101203
842,101206
843,101209
844,101212
845,101215
846,101218
847,101221
848,101224
849,101227
850,101230
851,101233
852,101236
853,101239
854,101242
855,101245
856,101248
857,101251
858,101254
859,101257
860,101300
861,101303
862,101306
863,101309
864,101312
865,101315
866,101318
867,101321
868,101324
869,101327
870,101330
871,101333
872,101336
873,101339
874,101342
875,101345
876,101348
877,101351
878,101354
879,101357
880,101400
881,101403
882,101406
883,101409
884,101412
885,101415
886,101418
887,101421
888,101424
889,101427
890,101430
891,101433
892,101436
893,101439
894,101442
895,101445
896,101448
897,101451
898,101454
899,101457
900,101500
901,101503
902,101506
903,101509
904,101512
905,101515
906,101518
907,101521
908,101524
909,101527
910,101530
911,101533
912,101536
913,101539
914,101542
915,101545
916,101548
917,101551
918,101554
919,101557
920,101600
921,101603
922,101606
923,101609
924,101612
925,101615
926,101618
927,101621
928,101624
929,101627
930,101630
931,101633
932,101636
933,101639
934,101642
935,101645
936,101648
937,101651
938,101654
939,101657
940,101700
941,101703
942,101706
943,101709
944,101712
945,101715
946,101718
947,101721
948,101724
949,101727
950,101730
951,101733
952,101736
953,101739
954,101742
955,101745
956,101748
957,101751
958,101754
959,101757
960,101800
961,101803
962,101806
963,101809
964,101812
965,101815
966,101818
967,101821
968,101824
969,101827
970,101830
971,101833
972,101836
973,101839
