,S_INFO_WINDCODE,SHR_CALCULATION,WEIGHT
0,601857.SH,11334545447.00,1.3020
1,601888.SH,976237772.00,1.3924
2,603260.SH,354662082.00,0.2818
3,601012.SH,6065208405.00,2.0601
4,601728.SH,15525945740.00,1.2892
5,600309.SH,1883847976.00,2.4308
6,601225.SH,3878000000.00,1.2086
7,601288.SH,31924421078.00,1.8694
8,601318.SH,10832664498.00,7.0712
9,600276.SH,4465301592.00,3.4306
10,600436.SH,301658605.00,1.2199
11,600887.SH,6366450305.00,2.7756
12,600690.SH,3785131592.00,1.3396
13,601628.SH,1665882400.00,0.8006
14,600111.SH,2530546089.00,0.8033
15,601066.SH,1299134207.00,0.5358
16,601633.SH,1234813061.00,0.5314
17,600519.SH,628098900.00,18.0028
18,600196.SH,1272129667.00,0.5678
19,600905.SH,14312059600.00,1.0533
20,600893.SH,1332797119.00,0.7668
21,600036.SH,12377366657.00,5.7012
22,603799.SH,1359572113.00,0.6982
23,600031.SH,5940621461.00,1.2974
24,601390.SH,10272402992.00,0.9269
25,600104.SH,4673384546.00,1.1126
26,601919.SH,6370305643.00,1.0202
27,600050.SH,19082661742.00,1.3403
28,688111.SH,184606184.00,0.8912
29,603501.SH,828925243.00,1.4355
30,601088.SH,3298207591.00,1.6617
31,603259.SH,2052068138.00,2.7119
32,601668.SH,20967216422.00,1.6672
33,601899.SH,16471704992.00,3.2098
34,600745.SH,869965275.00,0.6713
35,603986.SH,667025148.00,1.0042
36,601398.SH,35049587630.00,2.6973
37,600028.SH,19023094209.00,1.6648
38,600048.SH,7182266051.00,1.1790
39,603288.SH,1668180163.00,1.0171
40,600406.SH,4016701796.00,1.4144
41,600010.SH,22702471124.00,0.5557
42,600438.SH,2701179136.00,1.0588
43,600900.SH,9787287086.00,3.5749
44,600809.SH,487985689.00,1.8649
45,601669.SH,6890463734.00,0.5501
46,600089.SH,5048202844.00,1.1251
47,601166.SH,14541984559.00,3.3968
48,600030.SH,9760375979.00,3.3496
49,688599.SH,1086712833.00,0.4687
