,symbol,date,time,recv_time,prev_close,open,last_prc,volume,high_limited,low_limited,ask_prc1,bid_prc1,ask_vol1,bid_vol1,fill,index_Resource,Time,t_volume,outlier,middle,acc_weight_price,stop
0,000016.SH,20231201.0,92500000,92500181.0,2365.9962,0.0,2365.9963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,92500000.0,0,0,0,0.0,0
1,000016.SH,20231201.0,92503000,92503185.0,2365.9962,0.0,2365.9963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,92503000.0,0,0,0,0.0,0
2,000016.SH,20231201.0,92504000,92504225.0,2365.9962,0.0,2365.9963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,92504000.0,0,0,0,0.0,0
3,000016.SH,20231201.0,92506000,92506181.0,2365.9962,2362.6263,2362.6263,11315400.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,92506000.0,0,0,0,0.0,0
4,000016.SH,20231201.0,92509000,92506181.0,2365.9962,2362.6263,2362.6263,11315400.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,92506000.0,0,0,0,0.0,0
5,000016.SH,20231201.0,92512000,92506181.0,2365.9962,2362.6263,2362.6263,11315400.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,92506000.0,0,0,0,0.0,0
6,000016.SH,20231201.0,92515000,92506181.0,2365.9962,2362.6263,2362.6263,11315400.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,92506000.0,0,0,0,0.0,0
7,000016.SH,20231201.0,92518000,92506181.0,2365.9962,2362.6263,2362.6263,11315400.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,92506000.0,0,0,0,0.0,0
8,000016.SH,20231201.0,92521000,92506181.0,2365.9962,2362.6263,2362.6263,11315400.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,92506000.0,0,0,0,0.0,0
9,000016.SH,20231201.0,92524000,92506181.0,2365.9962,2362.6263,2362.6263,11315400.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,92506000.0,0,0,0,0.0,0
10,000016.SH,20231201.0,92527000,92506181.0,2365.9962,2362.6263,2362.6263,11315400.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,92506000.0,0,0,0,0.0,0
11,000016.SH,20231201.0,92530000,92506181.0,2365.9962,2362.6263,2362.6263,11315400.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,92506000.0,0,0,0,0.0,0
