,level_0,index,time,Unnamed: 0,symbol,date,recv_time,prev_close,open,last_prc,volume,high_limited,low_limited,ask_prc1,bid_prc1,ask_vol1,bid_vol1,fill,index_Resource,Time,t_volume,outlier,middle,acc_weight_price,stop
0,0,0,92500000,0,000016.SH,20231201.0,92500181.0,2365.9962,0.0,2365.9963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,92500000.0,0,0,0.0,0.0,0
1,1,1,92503000,1,000016.SH,20231201.0,92503185.0,2365.9962,0.0,2365.9963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,92503000.0,0,0,0.0,0.0,0
2,2,2,92506000,3,000016.SH,20231201.0,92506181.0,2365.9962,2362.6263,2362.6263,11315400.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,92506000.0,0,0,0.0,0.0,0
3,3,3,92509000,4,000016.SH,20231201.0,92506181.0,2365.9962,2362.6263,2362.6263,11315400.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,92506000.0,0,0,0.0,0.0,0
4,4,4,92512000,5,000016.SH,20231201.0,92506181.0,2365.9962,2362.6263,2362.6263,11315400.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,92506000.0,0,0,0.0,0.0,0
5,5,5,92515000,6,000016.SH,20231201.0,92506181.0,2365.9962,2362.6263,2362.6263,11315400.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,92506000.0,0,0,0.0,0.0,0
6,6,6,92518000,7,000016.SH,20231201.0,92506181.0,2365.9962,2362.6263,2362.6263,11315400.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,92506000.0,0,0,0.0,0.0,0
7,7,7,92521000,8,000016.SH,20231201.0,92506181.0,2365.9962,2362.6263,2362.6263,11315400.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,92506000.0,0,0,0.0,0.0,0
8,8,8,92524000,9,000016.SH,20231201.0,92506181.0,2365.9962,2362.6263,2362.6263,11315400.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,92506000.0,0,0,0.0,0.0,0
9,9,9,92527000,10,000016.SH,20231201.0,92506181.0,2365.9962,2362.6263,2362.6263,11315400.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,92506000.0,0,0,0.0,0.0,0
10,10,10,92530000,11,000016.SH,20231201.0,92506181.0,2365.9962,2362.6263,2362.6263,11315400.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,92506000.0,0,0,0.0,0.0,0
11,11,11,92533000,12,000016.SH,20231201.0,92533588.0,2365.9962,2362.6263,2362.6263,11315400.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,92533000.0,0,0,0.0,0.0,0
12,12,12,92536000,14,000016.SH,20231201.0,92534231.0,2365.9962,2362.6263,2362.6263,11315400.0,0.0,0.0,0.0,0.0,0.0,0.0,1,13,92534000.0,0,0,0.0,0.0,0
13,13,13,92539000,15,000016.SH,20231201.0,92534231.0,2365.9962,2362.6263,2362.6263,11315400.0,0.0,0.0,0.0,0.0,0.0,0.0,1,13,92534000.0,0,0,0.0,0.0,0
14,14,14,92542000,16,000016.SH,20231201.0,92534231.0,2365.9962,2362.6263,2362.6263,11315400.0,0.0,0.0,0.0,0.0,0.0,0.0,1,13,92534000.0,0,0,0.0,0.0,0
15,15,15,92545000,17,000016.SH,20231201.0,92534231.0,2365.9962,2362.6263,2362.6263,11315400.0,0.0,0.0,0.0,0.0,0.0,0.0,1,13,92534000.0,0,0,0.0,0.0,0
16,16,16,92548000,18,000016.SH,20231201.0,92534231.0,2365.9962,2362.6263,2362.6263,11315400.0,0.0,0.0,0.0,0.0,0.0,0.0,1,13,92534000.0,0,0,0.0,0.0,0
17,17,17,92551000,19,000016.SH,20231201.0,92534231.0,2365.9962,2362.6263,2362.6263,11315400.0,0.0,0.0,0.0,0.0,0.0,0.0,1,13,92534000.0,0,0,0.0,0.0,0
18,18,18,92554000,20,000016.SH,20231201.0,92534231.0,2365.9962,2362.6263,2362.6263,11315400.0,0.0,0.0,0.0,0.0,0.0,0.0,1,13,92534000.0,0,0,0.0,0.0,0
19,19,19,92557000,21,000016.SH,20231201.0,92534231.0,2365.9962,2362.6263,2362.6263,11315400.0,0.0,0.0,0.0,0.0,0.0,0.0,1,13,92534000.0,0,0,0.0,0.0,0
20,20,20,92600000,22,000016.SH,20231201.0,92534231.0,2365.9962,2362.6263,2362.6263,11315400.0,0.0,0.0,0.0,0.0,0.0,0.0,1,13,92534000.0,0,0,0.0,0.0,0
21,21,21,92603000,23,000016.SH,20231201.0,92603180.0,2365.9962,2362.6263,2362.6263,11315400.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,92603000.0,0,0,0.0,0.0,0
22,22,22,92606000,25,000016.SH,20231201.0,92606171.0,2365.9962,2362.6263,2362.6263,11315400.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,92606000.0,0,0,0.0,0.0,0
23,23,23,92609000,26,000016.SH,20231201.0,92609171.0,2365.9962,2362.6263,2362.6263,11315400.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,92609000.0,0,0,0.0,0.0,0
24,24,24,92612000,27,000016.SH,20231201.0,92612168.0,2365.9962,2362.6263,2362.6263,11315400.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,92612000.0,0,0,0.0,0.0,0
25,25,25,92615000,28,000016.SH,20231201.0,92615170.0,2365.9962,2362.6263,2362.6263,11315400.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,92615000.0,0,0,0.0,0.0,0
26,26,26,92618000,29,000016.SH,20231201.0,92618177.0,2365.9962,2362.6263,2362.6263,11315400.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,92618000.0,0,0,0.0,0.0,0
27,27,27,92621000,30,000016.SH,20231201.0,92621172.0,2365.9962,2362.6263,2362.6263,11315400.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,92621000.0,0,0,0.0,0.0,0
28,28,28,92624000,31,000016.SH,20231201.0,92624172.0,2365.9962,2362.6263,2362.6263,11315400.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,92624000.0,0,0,0.0,0.0,0
29,29,29,92627000,32,000016.SH,20231201.0,92627171.0,2365.9962,2362.6263,2362.6263,11315400.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,92627000.0,0,0,0.0,0.0,0
30,30,30,92630000,33,000016.SH,20231201.0,92630169.0,2365.9962,2362.6263,2362.6263,11315400.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,92630000.0,0,0,0.0,0.0,0
31,31,31,92633000,34,000016.SH,20231201.0,92633175.0,2365.9962,2362.6263,2362.6263,11315400.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,92633000.0,0,0,0.0,0.0,0
