,symbol,date,time,prev_close,open,high,low,last_prc
0,000555.SZ,20231117.0,93000000,12.77,12.72,12.72,12.71,12.71
1,000555.SZ,20231117.0,93003000,12.77,12.72,12.74,12.7,12.71
2,000555.SZ,20231117.0,93006000,12.77,12.72,12.74,12.7,12.72
3,000555.SZ,20231117.0,93009000,12.77,12.72,12.74,12.7,12.72
4,000555.SZ,20231117.0,93012000,12.77,12.72,12.74,12.7,12.74
5,000555.SZ,20231117.0,93015000,12.77,12.72,12.75,12.7,12.72
6,000555.SZ,20231117.0,93018000,12.77,12.72,12.75,12.7,12.74
7,000555.SZ,20231117.0,93021000,12.77,12.72,12.75,12.7,12.74
8,000555.SZ,20231117.0,93024000,12.77,12.72,12.76,12.7,12.76
9,000555.SZ,20231117.0,93027000,12.77,12.72,12.77,12.7,12.76
10,000555.SZ,20231117.0,93030000,12.77,12.72,12.77,12.7,12.76
11,000555.SZ,20231117.0,93033000,12.77,12.72,12.77,12.7,12.77
12,000555.SZ,20231117.0,93036000,12.77,12.72,12.77,12.7,12.76
13,000555.SZ,20231117.0,93039000,12.77,12.72,12.77,12.7,12.76
14,000555.SZ,20231117.0,93042000,12.77,12.72,12.77,12.7,12.75
15,000555.SZ,20231117.0,93045000,12.77,12.72,12.77,12.7,12.76
16,000555.SZ,20231117.0,93048000,12.77,12.72,12.77,12.7,12.76
17,000555.SZ,20231117.0,93051000,12.77,12.72,12.77,12.7,12.76
18,000555.SZ,20231117.0,93054000,12.77,12.72,12.77,12.7,12.76
19,000555.SZ,20231117.0,93057000,12.77,12.72,12.77,12.7,12.76
20,000555.SZ,20231117.0,93100000,12.77,12.72,12.77,12.7,12.76
21,000555.SZ,20231117.0,93103000,12.77,12.72,12.77,12.7,12.77
22,000555.SZ,20231117.0,93106000,12.77,12.72,12.78,12.7,12.78
23,000555.SZ,20231117.0,93109000,12.77,12.72,12.78,12.7,12.78
24,000555.SZ,20231117.0,93112000,12.77,12.72,12.79,12.7,12.78
25,000555.SZ,20231117.0,93115000,12.77,12.72,12.79,12.7,12.76
26,000555.SZ,20231117.0,93118000,12.77,12.72,12.79,12.7,12.76
27,000555.SZ,20231117.0,93121000,12.77,12.72,12.79,12.7,12.76
28,000555.SZ,20231117.0,93124000,12.77,12.72,12.79,12.7,12.77
29,000555.SZ,20231117.0,93127000,12.77,12.72,12.79,12.7,12.74
30,000555.SZ,20231117.0,93130000,12.77,12.72,12.79,12.7,12.74
31,000555.SZ,20231117.0,93133000,12.77,12.72,12.79,12.7,12.74
32,000555.SZ,20231117.0,93136000,12.77,12.72,12.79,12.7,12.72
33,000555.SZ,20231117.0,93139000,12.77,12.72,12.79,12.7,12.73
34,000555.SZ,20231117.0,93142000,12.77,12.72,12.79,12.7,12.74
35,000555.SZ,20231117.0,93145000,12.77,12.72,12.79,12.7,12.74
36,000555.SZ,20231117.0,93148000,12.77,12.72,12.79,12.7,12.73
37,000555.SZ,20231117.0,93151000,12.77,12.72,12.79,12.7,12.72
38,000555.SZ,20231117.0,93154000,12.77,12.72,12.79,12.7,12.72
39,000555.SZ,20231117.0,93157000,12.77,12.72,12.79,12.7,12.72
40,000555.SZ,20231117.0,93200000,12.77,12.72,12.79,12.7,12.72
41,000555.SZ,20231117.0,93203000,12.77,12.72,12.79,12.7,12.73
42,000555.SZ,20231117.0,93206000,12.77,12.72,12.79,12.7,12.73
